name,price,description,image_urls
Gold Half Moon Stud Earrings,475,Type Studs  Color Golden  Composition Brass  Closure Push Back  Length  40 Mm,"https://img.faballey.com/images/Product/ZEA00398/d3.jpg,https://img.faballey.com/images/Product/ZEA00398/d4.jpg,https://img.faballey.com/images/Product/ZEA00398/d5.jpg,https://img.faballey.com/images/Product/ZEA00398/d6.jpg"
Gold Kundan Green Drop Jhumka Earrings,925,Type Jhumka  Color Gold White Green  Composition Alloy Beads  Closure Push Back  Length  60 Mm,"https://img.faballey.com/images/Product/ZEA00300/d3.jpg,https://img.faballey.com/images/Product/ZEA00300/d4.jpg,https://img.faballey.com/images/Product/ZEA00300/d5.jpg,https://img.faballey.com/images/Product/ZEA00300/d6.jpg"
Gold Textured Contemporary Choker Necklace Set,1100,Type Necklace set  Color Gold  Composition Brass  Textured Finish Closure Chain with clasp  Length  120 Mm,"https://img.faballey.com/images/Product/ZNS00070/d3.jpg,https://img.faballey.com/images/Product/ZNS00070/d4.jpg,https://img.faballey.com/images/Product/ZNS00070/d5.jpg,https://img.faballey.com/images/Product/ZNS00070/d6.jpg"
Gold Green Kundan Beaded Bracelet,900,Give traditional kundan kadas a miss for this refreshing goldplated beaded kundan bracelet It features a kundan encrusted floral motif center encircled with clusters of pastel green beads and a kundan bracelet   Style Tip Complete the look with a floral stud earrings   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZBR00069/d3.jpg,https://img.faballey.com/images/Product/ZBR00069/d4.jpg,https://img.faballey.com/images/Product/ZBR00069/d5.jpg,https://img.faballey.com/images/Product/ZBR00069/d6.jpg"
Gold Green Enamel Kundan Jhumka Earrings,600,Delicately detailed in stunning shades this pair of goldplated green jhumka earrings are perfect to jazz up any festive look It features petalshaped motifs with red enamel work a green enamel jhumka drop and is finished with fetching pearls   Style Tip Pull your hair black in a soft bun to flaunt these beauties,"https://img.faballey.com/images/Product/ZEA00449/d3.jpg,https://img.faballey.com/images/Product/ZEA00449/d4.jpg,https://img.faballey.com/images/Product/ZEA00449/d5.jpg,https://img.faballey.com/images/Product/ZEA00449/d6.jpg"
Gold Handmade Brick Cluster Stud Earrings,750,The perfect blend of sleek and chic these goldplated stud earrings are all you need to take your look from drab to fab The pair features clusters of brickshaped motifs   Style Tip Complete the look with a dainty single string gold necklace   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00403/d3.jpg,https://img.faballey.com/images/Product/ZEA00403/d4.jpg,https://img.faballey.com/images/Product/ZEA00403/d5.jpg,https://img.faballey.com/images/Product/ZEA00403/d6.jpg"
Gold Blue Semi Hoop Earrings,550,Minimal yet striking this pair of goldplated semihoop earrings is a fetching pick for summer dressing Crafted with sleek lines and an alluring blue stone in the centre this light pair is an effortless winner   Style Tip Jazz up a classic white shirtblue jeans look with these,"https://img.faballey.com/images/Product/ZEA00384/d3.jpg,https://img.faballey.com/images/Product/ZEA00384/d4.jpg,https://img.faballey.com/images/Product/ZEA00384/d5.jpg,https://img.faballey.com/images/Product/ZEA00384/d6.jpg"
Gold Red Triangular Tasselled Dangler Earrings,450,Type Dangler  Color Red  Composition Brass  Closure Ear wire  Length  80 Mm,"https://img.faballey.com/images/Product/ZEA00435/d3.jpg,https://img.faballey.com/images/Product/ZEA00435/d4.jpg,https://img.faballey.com/images/Product/ZEA00435/d5.jpg,https://img.faballey.com/images/Product/ZEA00435/d6.jpg"
Silver Hoop Earrings Set of 3,550,Pick these hoop earrings for everyday easy accessorizing Minimally detailed these come in a set of three to amp up your look   Style Tip Pair these hoops with classic jeans and a white Tshirt  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00331/d3.jpg,https://img.faballey.com/images/Product/ZEA00331/d4.jpg,https://img.faballey.com/images/Product/ZEA00331/d5.jpg"
Gold Hoop Earrings Set of 4,550,Elevate your everyday look with these goldplated hoop earrings With a spiked tribal shape they come in a set of four to take your look from morning to night   Style Tip Pair these hoops with an easybreezy kurta and kohlapuris  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00330/d3.jpg,https://img.faballey.com/images/Product/ZEA00330/d4.jpg,https://img.faballey.com/images/Product/ZEA00330/d5.jpg"
